Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2017-02-11,38.64,88,34.57,81,35.62,73,58.62,29
2017-02-12,32.38,105,26.67,90,25.32,79,41.94,31
2017-02-13,43.50,1016,40.70,892,40.71,764,75.00,364
2017-02-14,36.76,982,33.25,851,32.64,726,62.54,323
2017-02-15,35.04,665,31.39,599,31.26,531,52.33,279
2017-02-16,29.03,1316,25.04,1190,24.64,1051,43.41,539
2017-02-17,34.20,1351,30.01,1183,30.14,1045,54.29,525
2017-02-18,39.66,179,37.01,154,39.23,130,55.36,56
2017-02-19,42.79,201,41.76,182,42.50,160,72.22,72
2017-02-20,42.72,206,41.18,187,41.57,166,54.26,94
2017-02-21,44.39,748,41.50,653,40.42,569,60.87,322
2017-02-22,30.02,2821,26.28,2546,25.86,2301,50.38,1054
2017-02-23,25.18,2260,21.52,2040,20.25,1837,38.21,861
2017-02-24,31.50,1035,28.92,951,27.61,873,51.16,432
2017-02-25,34.02,97,28.57,84,28.75,80,45.83,48
2017-02-26,43.53,85,41.03,78,41.18,68,70.27,37
2017-02-27,24.76,1345,21.80,1243,20.61,1140,39.22,561
2017-02-28,34.51,649,30.96,591,29.00,531,48.81,295
2017-03-01,31.98,741,29.65,688,29.20,637,49.12,340
2017-03-02,23.61,559,19.77,521,18.76,485,33.33,234
2017-03-03,31.80,522,29.42,486,29.60,446,48.40,250
2017-03-04,27.62,105,23.66,93,22.50,80,60.87,23
2017-03-05,27.63,76,26.03,73,25.37,67,43.75,32
2017-03-06,31.38,325,27.55,294,26.04,265,46.15,130
2017-03-07,20.75,453,17.30,422,16.58,386,26.79,209
2017-03-08,30.10,618,28.72,578,28.95,525,47.97,296
2017-03-09,21.97,628,20.14,591,19.19,542,30.74,283
2017-03-10,31.33,383,28.16,348,28.84,319,41.80,189
2017-03-11,34.57,81,27.94,68,25.81,62,43.75,32
2017-03-12,29.27,123,27.59,116,25.69,109,33.78,74
2017-03-13,37.72,456,33.82,411,32.98,376,52.88,208
2017-03-14,37.45,1167,34.38,1056,33.71,979,61.26,506
2017-03-15,34.85,1294,31.31,1172,31.93,1071,53.33,600
2017-03-16,39.57,1031,38.23,939,38.70,863,63.67,479
2017-03-17,28.21,599,24.58,541,23.31,502,40.48,252
2017-03-18,44.92,118,43.12,109,41.00,100,62.71,59
2017-03-19,40.16,127,39.83,118,38.89,108,67.92,53
2017-03-20,32.30,421,30.00,390,29.67,364,52.11,190
2017-03-21,31.39,634,28.64,583,28.25,538,43.31,314
2017-03-22,32.31,325,30.61,294,30.26,271,53.44,131
2017-03-23,32.43,367,28.96,335,28.90,308,44.85,165
2017-03-24,41.53,561,40.51,511,40.60,468,65.00,260
2017-03-25,40.82,98,37.65,85,35.80,81,65.85,41
2017-03-26,38.37,86,38.96,77,36.11,72,88.89,27
2017-03-27,47.46,590,46.18,537,47.01,468,87.72,228
2017-03-28,43.39,1173,41.48,1051,41.03,936,80.85,423
2017-03-29,36.35,608,34.18,553,34.58,506,59.14,257
2017-03-30,46.22,727,45.14,658,45.10,612,73.33,345
2017-03-31,41.55,515,39.49,471,39.20,426,71.43,210
2017-04-01,57.58,99,57.45,94,60.47,86,85.71,56
2017-04-02,57.69,208,56.84,190,57.74,168,91.75,97
2017-04-03,47.92,2642,45.73,2388,45.87,2130,85.11,1061
2017-04-04,51.31,1941,49.34,1755,49.50,1590,85.58,839
2017-04-05,38.77,1367,36.24,1250,36.61,1120,70.79,541
2017-04-06,38.02,1081,36.14,999,36.03,916,63.79,475
2017-04-07,46.50,856,45.00,780,45.33,706,73.86,394
2017-04-08,53.89,180,53.09,162,54.05,148,90.59,85
2017-04-09,47.91,215,47.74,199,48.90,182,87.37,95
2017-04-10,41.05,1664,39.02,1517,39.15,1369,70.57,700
2017-04-11,34.79,1469,32.57,1354,32.94,1257,59.37,662
2017-04-12,30.33,1919,27.03,1765,26.97,1624,46.64,879
2017-04-13,42.19,1780,39.67,1616,40.05,1483,69.98,806
2017-04-14,41.96,336,41.14,316,40.96,293,80.14,141
2017-04-15,41.18,204,40.31,191,40.54,185,64.15,106
2017-04-16,42.14,159,40.94,149,37.59,133,72.31,65
2017-04-17,41.08,762,39.08,719,38.95,665,65.04,369
2017-04-18,45.32,620,42.17,562,42.72,529,67.52,311
2017-04-19,43.73,638,43.81,582,42.62,542,69.18,318
2017-04-20,35.45,1168,33.30,1090,33.07,1010,60.15,522
2017-04-21,41.46,820,40.16,762,40.31,707,63.59,423
2017-04-22,44.76,105,43.75,96,43.04,79,77.14,35
2017-04-23,29.08,141,25.00,128,26.72,116,78.38,37
2017-04-24,40.94,596,39.42,548,39.69,514,62.71,303
2017-04-25,46.41,793,44.97,725,45.43,656,76.42,369
2017-04-26,37.05,583,34.64,534,35.41,497,64.37,261
2017-04-27,44.80,567,43.07,534,43.81,509,68.03,319
2017-04-28,46.64,804,44.65,710,44.74,646,69.58,401
2017-04-29,39.46,261,37.13,237,38.91,221,69.23,117
2017-04-30,42.86,252,43.36,226,42.38,210,80.20,101
