Date,Open,High,Low,Close,Volume,Adj Close
2016-12-23,123.370003,123.830002,123.07,123.139999,2164100,123.139999
2016-12-22,123.120003,124.00,123.089996,123.720001,2946100,123.720001
2016-12-21,123.150002,123.760002,123.099998,123.18,2762800,123.18
2016-12-20,123.18,123.900002,122.709999,123.330002,2766000,123.330002
2016-12-19,123.230003,123.660004,122.769997,122.989998,3537700,122.989998
2016-12-16,122.889999,123.839996,122.540001,123.239998,10564800,123.239998
2016-12-15,122.970001,123.360001,121.769997,122.360001,4391100,122.360001
2016-12-14,122.870003,123.400002,122.389999,122.839996,4807400,122.839996
2016-12-13,121.779999,122.919998,121.760002,122.68,4127200,122.68
2016-12-12,121.57,122.25,121.260002,121.739998,4172000,121.739998
2016-12-09,120.57,121.269997,120.209999,121.260002,2622400,121.260002
2016-12-08,120.050003,121.150002,119.50,120.449997,3255100,120.449997
2016-12-07,119.410004,120.129997,118.470001,119.919998,4013900,119.919998
2016-12-06,119.290001,119.650002,118.599998,119.25,3317300,119.25
2016-12-05,119.449997,120.339996,119.029999,119.290001,5179300,119.290001
2016-12-02,118.00,118.50,117.709999,118.239998,3342600,118.239998
2016-12-01,118.959999,118.959999,117.870003,118.470001,4431100,118.470001
2016-11-30,120.220001,120.489998,119.269997,119.269997,5481000,119.269997
2016-11-29,120.379997,120.790001,119.019997,120.68,6370900,120.68
2016-11-28,120.379997,121.870003,120.230003,121.82,5931700,120.88
2016-11-25,120.080002,120.989998,119.919998,120.660004,1709100,119.728955
2016-11-23,119.730003,120.760002,119.730003,120.139999,2860200,119.212963
2016-11-22,119.50,120.290001,118.879997,119.690002,3699100,118.766439
2016-11-21,119.800003,120.50,118.959999,119.50,3603300,118.577902
2016-11-18,119.260002,120.239998,118.910004,120.00,3655400,119.074044
2016-11-17,118.889999,119.50,118.279999,119.449997,2836600,118.528285
2016-11-16,118.860001,119.599998,118.470001,119.209999,5371100,118.290139
2016-11-15,117.580002,118.480003,117.019997,118.32,4447900,117.407007
2016-11-14,114.989998,118.75,114.720001,117.860001,7093200,116.950558
2016-11-11,114.669998,114.959999,114.169998,114.220001,4331200,113.338646
2016-11-10,115.029999,115.040001,113.779999,114.510002,4437700,113.626409
2016-11-09,112.089996,115.419998,111.800003,114.980003,5099500,114.092783
2016-11-08,113.010002,114.25,113.00,114.110001,3300200,113.229494
2016-11-07,112.00,113.279999,111.879997,112.82,3842400,111.949447
2016-11-04,111.989998,112.00,110.830002,111.040001,3457400,110.183183
2016-11-03,112.739998,112.849998,111.519997,111.720001,3890700,110.857936
2016-11-02,112.099998,112.769997,111.82,112.389999,3512500,111.522765
2016-11-01,112.650002,112.769997,111.949997,112.25,3935600,111.383846
2016-10-31,112.459999,112.730003,111.790001,112.57,4181600,111.701376
2016-10-28,112.260002,112.349998,111.529999,112.099998,3304700,111.235001
2016-10-27,112.169998,112.489998,111.779999,112.080002,2960700,111.215159
2016-10-26,112.269997,112.699997,111.400002,112.110001,3763100,111.244926
2016-10-25,113.50,113.540001,112.669998,112.720001,4879000,111.85022
2016-10-24,114.25,114.50,112.639999,113.57,6173500,112.69366
2016-10-21,113.269997,114.50,112.75,113.93,10108000,113.050882
2016-10-20,111.300003,111.300003,110.330002,110.57,7250700,109.716809
2016-10-19,111.709999,111.769997,111.120003,111.260002,6433400,110.401487
2016-10-18,112.889999,113.089996,111.230003,111.25,6198400,110.391562
2016-10-17,113.910004,114.400002,112.099998,112.410004,5655700,111.542615
2016-10-14,114.900002,115.110001,114.07,114.089996,5312500,113.209644
2016-10-13,114.139999,115.739998,114.07,115.410004,4464700,114.519466
2016-10-12,113.599998,115.230003,113.540001,114.709999,3340200,113.824863
2016-10-11,114.650002,115.230003,113.559998,113.68,3943300,112.802812
2016-10-10,114.209999,114.989998,114.160004,114.709999,3290300,113.824863
2016-10-07,113.970001,114.339996,113.220001,113.449997,4153100,112.574583
2016-10-06,113.25,114.220001,112.400002,113.919998,3900000,113.040958
2016-10-05,113.910004,114.830002,113.379997,113.410004,3720300,112.534898
2016-10-04,114.989998,115.510002,113.419998,113.50,4742900,112.6242
2016-10-03,115.010002,115.150002,114.410004,114.639999,3085800,113.755403
2016-09-30,114.690002,115.709999,114.690002,115.360001,4188700,114.469848
2016-09-29,115.199997,115.970001,114.730003,114.790001,4924400,113.904247
2016-09-28,116.379997,116.529999,114.459999,115.18,5638900,114.291237
2016-09-27,116.949997,117.199997,116.370003,116.879997,3745400,115.978116
2016-09-26,116.800003,116.940002,116.279999,116.529999,3022400,115.630819
