Date,Natural1,Natural2,Natural3,djia,nasdaq,snp
2017-03-20,-0.11,-0.11,-0.11,-8.76,-0.11,-4.78
2017-03-21,-2.02,-2.02,-2.02,-237.85,-1.03,-29.45
2017-03-22,-1.9,-1.9,2.27,-6.71,-0.04,4.43
2017-03-23,-1.21,-0.99,-0.99,-4.72,0.03,-2.49
2017-03-24,1.33,1.33,1.33,-59.86,0.12,-1.98
2017-03-27,0.4,0.4,0.4,-45.74,-0.84,-2.39
2017-03-28,6.72,6.72,6.72,150.52,0.13,16.98
2017-03-29,-5.57,-5.57,7.52,-42.18,-0.47,2.56
2017-03-30,-8.56,1.29,1.29,69.17,0.72,6.93
2017-03-31,2.41,2.41,2.41,-65.27,0.06,-5.34
2017-04-03,-3.6,-3.6,-3.6,-13.01,-0.54,-3.88
2017-04-04,-3.7,-3.7,-3.7,39.03,-0.28,1.32
2017-04-05,2.45,2.45,-5.72,-41.09,0.46,-7.21
2017-04-06,-1.33,9.36,9.36,14.8,0.04,4.54
2017-04-07,-4.4,-4.4,-4.4,-6.85,0.09,-1.95
2017-04-10,-0.32,-0.32,-0.32,1.92,0.14,1.62
2017-04-11,0.01,0.01,4.17,-6.72,-0.36,-3.38
2017-04-12,7.87,-2.38,-2.38,-59.44,-0.32,-8.85
2017-04-13,4.5,4.5,4.5,-138.61,-0.57,-15.98
2017-04-17,-6.79,-6.79,-6.79,183.67,0.97,20.06
2017-04-18,-0.79,-0.79,-0.79,-113.64,0.02,-6.82
2017-04-19,3.23,3.23,-5.69,-118.79,0.07,-4.02
2017-04-20,0.55,2.8,2.8,174.22,0.95,17.67
2017-04-21,4.69,4.69,4.69,-30.95,-0.21,-7.15
2017-04-24,-7.57,-7.57,-7.57,216.13,0.54,25.46
2017-04-25,0.04,0.04,0.04,232.23,0.08,14.46
2017-04-26,2.66,2.66,2.66,-21.03,-0.99,-1.16
2017-04-27,5.35,5.35,5.35,6.24,-0.87,1.32
2017-04-28,-3.41,-3.41,-3.41,-40.82,0.2,-4.57
