Date,Natural1,Natural2,Natural3,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,9.69,9.69,2.09,-77.46,0.24,-13.78
2016-11-03,-4.19,2.06,2.06,-28.97,0.4,-9.28
2016-11-04,1.47,1.47,1.47,-42.39,0.52,-3.48
2016-11-07,-4.16,-4.16,-4.16,371.32,0.78,46.34
2016-11-08,-0.63,-0.63,-0.63,73.14,-0.08,8.04
2016-11-09,1.87,1.87,7.71,256.95,1.55,23.7
2016-11-10,-5.03,-8.06,-8.06,218.19,0.17,4.22
2016-11-11,0.75,0.75,0.75,39.78,-0.66,-3.03
2016-11-14,-1.67,-1.67,-1.67,21.03,-1.71,-0.25
2016-11-15,4.39,4.39,4.39,54.37,-0.25,16.19
2016-11-16,-1.77,-1.77,-3.18,-54.92,0.23,-3.45
2016-11-17,6.37,-16.07,-16.07,35.68,0.15,10.18
2016-11-18,15.21,15.21,15.21,-35.89,0.99,-5.22
2016-11-21,-1.09,-1.09,1.41,88.76,0.12,16.28
2016-11-22,1.41,-5.61,-5.53,67.18,-0.39,4.76
2016-11-23,8.89,5.91,5.91,59.31,-0.24,1.78
2016-11-25,-0.04,-0.04,-0.04,68.96,0.35,8.63
2016-11-28,-4.45,-4.45,-4.45,-54.24,-1.11,-11.63
2016-11-29,1.12,1.12,1.12,23.7,0.39,2.94
2016-11-30,-0.32,-0.32,-10.24,1.98,-0.88,-5.85
2016-12-01,0.44,12.5,12.5,68.35,-0.54,-7.73
2016-12-02,5.15,5.15,5.15,-21.51,0.33,0.87
2016-12-05,-7.99,-7.99,-7.99,45.82,0.98,12.76
2016-12-06,1.99,1.99,1.99,35.54,1.66,7.52
2016-12-07,-6.06,-6.06,3.05,297.84,1.09,29.12
2016-12-08,0.14,4.02,4.02,65.19,0.16,4.84
2016-12-09,2.12,2.12,2.12,142.04,0.85,13.34
2016-12-12,-2.52,-2.52,-2.52,39.58,0.17,-2.57
2016-12-13,-3.53,-3.53,-3.53,114.78,0.47,14.76
2016-12-14,-3.76,-3.76,4.08,-118.68,-1.0,-18.44
2016-12-15,-1.74,-6.32,-6.32,59.71,0.35,8.75
2016-12-16,8.93,8.93,8.93,-8.83,-0.55,-3.96
2016-12-19,-1.32,-1.32,-1.32,39.65,-0.36,4.46
2016-12-20,3.63,3.63,3.63,91.56,0.31,8.23
2016-12-21,-6.37,-6.37,-1.21,-32.66,-0.52,-5.58
2016-12-22,6.26,-2.56,-2.56,-23.08,-0.28,-4.22
2016-12-23,0.11,0.11,0.11,14.93,-0.04,2.83
2016-12-27,-1.6,-1.6,-1.6,11.23,0.36,5.09
2016-12-28,-0.58,-0.58,-0.28,-111.36,-0.19,-18.96
2016-12-29,-4.47,7.67,7.67,-13.9,-0.33,-0.66
