Date,Natural1,Natural2,Natural3,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,12.23,12.23,-0.65,-77.46,0.24,-13.78
2016-11-03,-3.65,2.81,2.81,-28.97,0.4,-9.28
2016-11-04,4.73,4.73,4.73,-42.39,0.52,-3.48
2016-11-07,-6.86,-6.86,-6.86,371.32,0.78,46.34
2016-11-08,-1.41,-1.41,-1.41,73.14,-0.08,8.04
2016-11-09,5.15,5.15,7.93,256.95,1.55,23.7
2016-11-10,-6.65,-5.58,-5.58,218.19,0.17,4.22
2016-11-11,-3.42,-3.42,-3.42,39.78,-0.66,-3.03
2016-11-14,-0.89,-0.89,-0.89,21.03,-1.71,-0.25
2016-11-15,4.35,4.35,4.35,54.37,-0.25,16.19
2016-11-16,-2.02,-2.02,-4.42,-54.92,0.23,-3.45
2016-11-17,8.04,-17.11,-17.11,35.68,0.15,10.18
2016-11-18,17.06,17.06,17.06,-35.89,0.99,-5.22
2016-11-21,-3.96,-3.96,3.29,88.76,0.12,16.28
2016-11-22,3.29,-5.5,-1.53,67.18,-0.39,4.76
2016-11-23,7.56,0.42,0.42,59.31,-0.24,1.78
2016-11-25,3.99,3.99,3.99,68.96,0.35,8.63
2016-11-28,-4.94,-4.94,-4.94,-54.24,-1.11,-11.63
2016-11-29,1.61,1.61,1.61,23.7,0.39,2.94
2016-11-30,-1.11,-1.11,-11.67,1.98,-0.88,-5.85
2016-12-01,0.32,13.55,13.55,68.35,-0.54,-7.73
2016-12-02,8.45,8.45,8.45,-21.51,0.33,0.87
2016-12-05,-11.35,-11.35,-11.35,45.82,0.98,12.76
2016-12-06,4.23,4.23,4.23,35.54,1.66,7.52
2016-12-07,-8.61,-8.61,1.75,297.84,1.09,29.12
2016-12-08,0.8,6.08,6.08,65.19,0.16,4.84
2016-12-09,1.2,1.2,1.2,142.04,0.85,13.34
2016-12-12,-0.53,-0.53,-0.53,39.58,0.17,-2.57
2016-12-13,-7.33,-7.33,-7.33,114.78,0.47,14.76
2016-12-14,-1.2,-1.2,4.53,-118.68,-1.0,-18.44
2016-12-15,-2.16,-8.31,-8.31,59.71,0.35,8.75
2016-12-16,9.77,9.77,9.77,-8.83,-0.55,-3.96
2016-12-19,-0.08,-0.08,-0.08,39.65,-0.36,4.46
2016-12-20,4.25,4.25,4.25,91.56,0.31,8.23
2016-12-21,-6.51,-6.51,-2.38,-32.66,-0.52,-5.58
2016-12-22,6.58,-2.77,-2.77,-23.08,-0.28,-4.22
2016-12-23,0.7,0.7,0.7,14.93,-0.04,2.83
2016-12-27,-2.29,-2.29,-2.29,11.23,0.36,5.09
2016-12-28,0.0,0.0,-0.32,-111.36,-0.19,-18.96
2016-12-29,-5.86,8.69,8.69,-13.9,-0.33,-0.66
2016-12-30,-0.43,-0.43,-0.43,-57.18,0.11,-10.43
2017-01-03,5.42,5.42,5.42,119.16,-0.44,19.0
2017-01-04,-6.13,-6.13,-2.29,60.4,1.04,12.92
2017-01-05,-3.29,1.38,1.38,-42.87,-0.08,-1.75
2017-01-06,1.27,1.27,1.27,64.51,0.82,7.98
2017-01-09,-3.08,-3.08,-3.08,-76.42,-0.69,-8.08
2017-01-10,5.46,5.46,5.46,-31.85,-0.57,0.0
2017-01-11,-1.26,-1.26,2.08,98.75,0.52,6.42
2017-01-12,-0.15,3.07,3.07,-63.28,-0.32,-4.88
2017-01-13,-0.46,-0.46,-0.46,-5.27,0.31,4.2
2017-01-17,-4.2,-4.2,-4.2,-58.96,-0.72,-6.75
2017-01-18,-2.21,-2.21,3.26,-22.05,0.26,4.0
2017-01-19,1.4,0.43,0.43,-72.32,-0.19,-8.2
2017-01-20,1.73,1.73,1.73,94.85,0.3,7.62
2017-01-23,-7.43,-7.43,-7.43,-27.4,-0.04,-6.11
2017-01-24,-0.29,-0.29,-0.29,112.86,0.63,14.87
2017-01-25,3.52,3.52,-0.1,155.8,0.39,18.3
2017-01-26,-2.43,5.3,5.3,32.4,0.49,-1.69
2017-01-27,-0.53,-0.53,-0.53,-7.13,-0.47,-1.99
2017-01-30,-1.64,-1.64,-1.64,-122.65,-0.18,-13.79
2017-01-31,-0.51,-0.51,-0.51,-107.04,2.36,-2.03
2017-02-01,0.64,0.64,-2.31,26.85,0.21,0.68
2017-02-02,2.88,-3.92,-3.92,-6.03,-0.08,1.3
2017-02-03,0.71,0.71,0.71,186.55,-0.33,16.57
2017-02-06,1.63,1.63,1.63,-19.04,-0.6,-4.86
2017-02-07,-0.96,-0.96,-0.96,37.87,-0.38,0.52
2017-02-08,-2.8,-2.8,-3.0,-35.95,-0.48,1.59
2017-02-09,5.19,1.23,1.23,118.06,0.22,13.2
2017-02-10,0.95,0.95,0.95,96.97,0.67,8.23
2017-02-13,-2.76,-2.76,-2.76,142.79,0.93,12.15
2017-02-14,4.57,4.57,4.57,92.25,0.08,9.33
2017-02-15,0.63,0.63,-6.18,107.45,0.47,11.67
2017-02-16,-4.21,0.68,0.68,7.91,0.09,-2.03
2017-02-17,-0.99,-0.99,-0.99,4.28,0.17,3.94
2017-02-21,1.84,1.84,1.84,118.95,-0.14,14.22
2017-02-22,-0.33,-0.33,3.88,32.6,-0.13,-2.56
2017-02-23,-6.27,5.46,5.46,34.72,0.21,0.99
2017-02-24,-7.43,-7.43,-7.43,11.44,0.0,3.53
2017-02-27,1.2,1.2,1.2,15.68,-0.3,2.39
2017-02-28,0.49,0.49,0.49,-25.2,-0.04,-6.09
2017-03-01,4.07,4.07,5.61,303.31,1.07,32.32
2017-03-02,-7.15,-0.01,-0.01,-112.58,-0.93,-14.04
