Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2017-02-10,61.02,59,67.39,46,66.67,36,86.67,15
2017-02-11,77.78,9,87.50,8,100.00,7,100.00,1
2017-02-12,75.00,16,72.73,11,66.67,9,100.00,1
2017-02-13,74.07,27,76.19,21,73.68,19,75.00,8
2017-02-14,63.41,41,60.61,33,55.56,27,100.00,4
2017-02-15,74.36,39,70.00,30,52.94,17,100.00,4
2017-02-16,65.00,20,63.64,11,66.67,9,100.00,2
2017-02-17,79.49,39,82.14,28,79.17,24,66.67,3
2017-02-18,76.92,13,81.82,11,75.00,8,-1,0
2017-02-19,88.89,9,87.50,8,83.33,6,100.00,2
2017-02-20,75.00,12,80.00,10,80.00,10,100.00,1
2017-02-21,76.32,38,76.47,34,81.48,27,100.00,12
2017-02-22,78.95,57,78.43,51,76.32,38,93.33,15
2017-02-23,71.43,35,73.33,30,73.91,23,90.91,11
2017-02-24,68.09,47,66.67,39,72.73,33,86.67,15
2017-02-25,100.00,3,100.00,2,100.00,1,-1,0
2017-02-26,41.67,12,36.36,11,40.00,10,100.00,1
2017-02-27,46.67,15,50.00,14,50.00,14,85.71,7
2017-02-28,50.00,10,55.56,9,55.56,9,50.00,2
2017-03-01,55.56,27,60.00,25,55.00,20,83.33,6
2017-03-02,80.00,20,84.21,19,81.25,16,100.00,7
2017-03-03,53.12,32,56.52,23,57.89,19,85.71,7
2017-03-04,62.50,16,60.00,10,62.50,8,100.00,1
2017-03-05,75.00,12,75.00,8,71.43,7,-1,0
2017-03-06,62.50,24,60.00,20,60.00,15,83.33,6
2017-03-07,43.75,32,41.67,24,23.08,13,0.00,3
2017-03-08,43.86,57,38.10,42,34.21,38,100.00,7
2017-03-09,50.00,34,48.39,31,35.00,20,50.00,4
2017-03-10,62.07,29,62.50,24,70.00,20,100.00,6
2017-03-11,81.25,16,76.92,13,76.92,13,100.00,1
