Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2017-02-11,28.57,14,16.67,12,18.18,11,20.00,5
2017-02-12,16.67,6,16.67,6,16.67,6,0.00,1
2017-02-13,43.28,67,37.50,56,31.71,41,35.71,14
2017-02-14,48.28,29,47.83,23,37.50,16,16.67,6
2017-02-15,41.86,43,38.89,36,30.43,23,33.33,3
2017-02-16,39.02,41,34.29,35,30.77,26,57.14,7
2017-02-17,45.45,33,27.27,22,31.25,16,50.00,2
2017-02-18,11.11,9,0.00,7,0.00,7,-1,0
2017-02-19,50.00,6,60.00,5,33.33,3,-1,0
2017-02-20,25.00,8,28.57,7,16.67,6,100.00,1
2017-02-21,30.77,39,24.24,33,24.00,25,100.00,4
2017-02-22,55.17,29,45.45,22,36.36,11,33.33,3
2017-02-23,36.84,38,28.12,32,23.08,26,50.00,4
2017-02-24,49.02,51,35.90,39,25.93,27,28.57,7
2017-02-25,11.11,9,0.00,8,0.00,8,-1,0
2017-02-26,36.36,11,30.00,10,16.67,6,100.00,1
2017-02-27,45.16,31,45.45,22,40.00,15,100.00,1
2017-02-28,30.77,13,22.22,9,20.00,5,-1,0
2017-03-01,38.64,44,33.33,36,36.00,25,50.00,8
2017-03-02,30.56,36,21.74,23,13.33,15,100.00,1
2017-03-03,37.04,27,19.05,21,12.50,16,40.00,5
2017-03-04,42.86,7,20.00,5,0.00,1,-1,0
2017-03-05,37.50,8,40.00,5,33.33,3,-1,0
2017-03-06,35.71,28,39.13,23,35.29,17,40.00,5
2017-03-07,14.29,28,12.00,25,10.53,19,0.00,5
2017-03-08,61.11,18,50.00,12,42.86,7,50.00,2
2017-03-09,41.18,34,32.14,28,23.81,21,25.00,8
2017-03-10,39.39,33,34.48,29,30.00,20,66.67,6
2017-03-11,50.00,6,33.33,3,33.33,3,100.00,1
2017-03-12,12.50,8,12.50,8,0.00,6,0.00,2
2017-03-13,30.77,26,32.00,25,29.41,17,20.00,5
2017-03-14,29.63,27,22.22,18,21.43,14,50.00,4
2017-03-15,43.75,48,35.90,39,25.81,31,42.86,7
2017-03-16,41.67,48,33.33,39,23.33,30,50.00,4
2017-03-17,46.43,28,39.13,23,35.29,17,100.00,3
2017-03-18,10.00,10,11.11,9,12.50,8,100.00,1
2017-03-19,0.00,6,0.00,6,0.00,6,0.00,1
2017-03-20,32.26,31,27.27,22,26.67,15,100.00,2
2017-03-21,17.78,45,15.38,39,6.45,31,50.00,2
2017-03-22,24.00,50,17.50,40,13.79,29,33.33,3
2017-03-23,9.68,31,7.69,26,9.09,22,0.00,6
2017-03-24,40.48,42,32.26,31,15.79,19,20.00,5
2017-03-25,0.00,5,0.00,5,0.00,5,0.00,2
2017-03-26,0.00,3,0.00,2,0.00,2,-1,0
2017-03-27,40.54,37,30.00,30,16.67,24,25.00,4
2017-03-28,22.22,27,17.39,23,16.67,18,40.00,5
2017-03-29,36.00,25,31.82,22,36.84,19,33.33,3
2017-03-30,31.03,29,22.73,22,17.65,17,66.67,3
2017-03-31,47.83,23,33.33,15,18.18,11,50.00,2
2017-04-01,62.50,8,50.00,6,40.00,5,-1,0
2017-04-02,11.11,9,11.11,9,11.11,9,100.00,1
2017-04-03,41.03,39,36.36,33,30.77,26,75.00,4
2017-04-04,41.38,29,36.36,22,30.00,20,80.00,5
2017-04-05,26.32,38,21.88,32,22.58,31,37.50,8
2017-04-06,11.43,35,9.38,32,9.68,31,7.69,13
2017-04-07,37.50,24,36.84,19,29.41,17,25.00,4
2017-04-08,0.00,4,0.00,3,0.00,3,0.00,1
2017-04-09,22.22,9,22.22,9,25.00,8,33.33,3
2017-04-10,40.62,32,37.50,24,46.67,15,50.00,8
2017-04-11,40.00,25,41.18,17,38.46,13,100.00,3
2017-04-12,36.84,19,35.29,17,25.00,12,33.33,6
2017-04-13,32.14,28,20.00,20,17.65,17,20.00,5
2017-04-14,25.00,8,0.00,5,0.00,5,0.00,1
2017-04-15,0.00,5,0.00,5,0.00,5,0.00,3
2017-04-16,16.67,6,0.00,5,0.00,3,0.00,2
2017-04-17,33.33,21,25.00,16,15.38,13,16.67,6
2017-04-18,12.90,31,4.17,24,4.55,22,0.00,5
2017-04-19,15.38,26,10.00,20,12.50,16,50.00,2
2017-04-20,28.57,28,10.00,20,10.53,19,20.00,5
2017-04-21,11.11,18,7.69,13,10.00,10,0.00,1
2017-04-22,0.00,1,0.00,1,-1,0,-1,0
2017-04-23,11.11,9,0.00,5,0.00,4,0.00,1
2017-04-24,47.06,34,52.00,25,52.38,21,70.00,10
2017-04-25,44.78,67,42.55,47,42.50,40,50.00,14
2017-04-26,20.00,15,15.38,13,14.29,7,-1,0
2017-04-27,46.43,28,33.33,21,33.33,15,33.33,6
2017-04-28,29.63,54,31.43,35,25.93,27,29.41,17
2017-04-29,60.00,5,50.00,4,50.00,2,100.00,1
2017-04-30,16.67,6,0.00,4,0.00,4,0.00,2
