Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2017-02-10,33.57,140,30.00,110,30.11,93,40.00,40
2017-02-11,19.35,31,10.71,28,11.11,27,20.00,10
2017-02-12,18.75,32,20.00,30,14.81,27,33.33,6
2017-02-13,35.75,179,33.77,154,27.12,118,44.44,54
2017-02-14,26.25,160,22.92,144,19.83,121,33.93,56
2017-02-15,34.30,207,33.33,171,32.87,143,57.38,61
2017-02-16,26.43,140,22.50,120,21.90,105,43.24,37
2017-02-17,28.10,121,23.47,98,22.50,80,45.45,22
2017-02-18,50.00,50,48.84,43,43.24,37,71.43,14
2017-02-19,41.67,48,37.50,40,41.18,34,80.00,15
2017-02-20,45.00,40,44.74,38,46.88,32,84.62,13
2017-02-21,46.67,150,44.00,125,42.59,108,67.44,43
2017-02-22,37.09,151,31.54,130,29.81,104,46.88,32
2017-02-23,31.74,167,24.81,133,22.32,112,28.12,32
2017-02-24,35.03,157,29.27,123,22.77,101,42.86,28
2017-02-25,34.00,50,30.23,43,30.95,42,66.67,12
2017-02-26,33.33,30,23.08,26,15.00,20,25.00,4
2017-02-27,39.26,135,34.26,108,28.40,81,50.00,12
2017-02-28,36.90,84,27.27,66,28.30,53,52.63,19
2017-03-01,40.00,305,33.62,235,32.97,182,66.67,69
2017-03-02,33.91,174,30.22,139,29.57,115,65.91,44
2017-03-03,25.17,147,19.01,121,14.85,101,32.43,37
2017-03-04,51.28,39,45.16,31,40.74,27,63.64,11
2017-03-05,23.08,39,17.65,34,13.33,30,12.50,8
2017-03-06,28.45,116,23.16,95,18.67,75,46.15,26
2017-03-07,24.71,85,20.78,77,16.13,62,26.32,19
2017-03-08,25.49,102,14.63,82,11.11,72,20.00,25
2017-03-09,29.90,97,18.99,79,20.31,64,35.71,28
2017-03-10,32.23,121,30.10,103,27.71,83,64.29,28
2017-03-11,40.00,65,32.08,53,31.25,48,55.56,18
2017-03-12,4.17,24,4.17,24,4.35,23,8.33,12
2017-03-13,29.03,93,18.42,76,15.52,58,33.33,21
2017-03-14,19.63,107,13.33,90,8.86,79,40.00,15
2017-03-15,21.82,110,18.37,98,13.79,87,36.36,22
2017-03-16,28.71,101,21.18,85,12.86,70,20.00,15
2017-03-17,33.33,66,26.79,56,20.00,50,66.67,9
2017-03-18,28.12,32,29.63,27,26.09,23,50.00,12
2017-03-19,6.25,32,6.25,32,3.23,31,0.00,5
2017-03-20,29.33,75,27.42,62,22.64,53,60.00,15
2017-03-21,20.81,173,13.70,146,9.16,131,16.67,42
2017-03-22,27.27,132,24.11,112,19.51,82,23.08,26
2017-03-23,10.34,87,10.26,78,8.96,67,12.90,31
2017-03-24,18.80,117,15.74,108,6.82,88,17.86,28
2017-03-25,22.50,40,21.62,37,22.22,36,25.00,16
2017-03-26,17.07,41,16.67,36,14.29,35,33.33,12
2017-03-27,18.80,133,15.18,112,14.29,98,47.83,23
2017-03-28,21.85,119,16.50,103,11.90,84,40.00,15
2017-03-29,21.43,98,14.77,88,11.84,76,26.67,15
2017-03-30,21.28,94,17.44,86,12.86,70,42.11,19
2017-03-31,31.25,64,24.07,54,22.45,49,60.00,15
2017-04-01,47.62,21,43.75,16,38.46,13,50.00,6
2017-04-02,15.00,20,15.00,20,11.76,17,100.00,2
2017-04-03,26.25,80,23.19,69,16.67,54,50.00,12
2017-04-04,23.86,88,21.79,78,19.18,73,57.89,19
2017-04-05,16.50,103,13.64,88,8.97,78,38.46,13
2017-04-06,21.28,94,20.48,83,13.51,74,31.82,22
2017-04-07,20.18,114,17.35,98,13.79,87,42.11,19
2017-04-08,22.73,22,20.00,20,16.67,18,66.67,3
2017-04-09,7.69,26,8.33,24,5.00,20,0.00,4
2017-04-10,27.17,92,18.92,74,9.26,54,13.33,15
2017-04-11,24.05,79,19.67,61,15.09,53,38.89,18
2017-04-12,20.59,68,14.75,61,10.20,49,20.00,15
2017-04-13,20.62,97,17.05,88,12.66,79,23.08,26
2017-04-14,7.69,39,5.41,37,2.86,35,10.00,10
2017-04-15,7.14,14,7.14,14,7.14,14,0.00,7
2017-04-16,29.17,24,26.09,23,20.00,20,28.57,14
2017-04-17,29.87,77,24.19,62,17.65,51,50.00,14
2017-04-18,17.24,87,12.66,79,6.25,64,14.29,14
2017-04-19,23.47,98,12.82,78,9.23,65,12.50,16
2017-04-20,24.32,111,16.67,96,14.63,82,26.09,23
2017-04-21,18.89,90,14.81,81,7.81,64,6.67,15
2017-04-22,20.00,20,16.67,18,17.65,17,16.67,6
2017-04-23,18.75,48,15.79,38,16.22,37,46.15,13
2017-04-24,34.29,105,32.14,84,31.51,73,64.52,31
2017-04-25,30.07,143,25.64,117,18.89,90,40.74,27
2017-04-26,22.15,158,20.71,140,16.67,120,38.78,49
2017-04-27,25.84,89,22.08,77,16.18,68,23.81,21
2017-04-28,20.47,127,18.69,107,17.89,95,22.22,36
2017-04-29,31.82,22,31.82,22,28.57,21,66.67,9
2017-04-30,14.29,21,10.53,19,11.11,18,16.67,6
