Date,Natural1,Natural2,Natural3,djia,nasdaq,snp
2017-01-09,-3.38,-3.38,-3.38,-76.42,-0.69,-8.08
2017-01-10,-0.38,-0.38,-0.38,-31.85,-0.57,0.0
2017-01-11,-0.18,-0.18,3.49,98.75,0.52,6.42
2017-01-12,-1.19,4.6,4.6,-63.28,-0.32,-4.88
2017-01-13,-5.06,-5.06,-5.06,-5.27,0.31,4.2
2017-01-17,-7.44,-7.44,-7.44,-58.96,-0.72,-6.75
2017-01-18,2.76,2.76,-2.37,-22.05,0.26,4.0
2017-01-19,1.56,6.84,6.84,-72.32,-0.19,-8.2
2017-01-20,5.24,5.24,5.24,94.85,0.3,7.62
2017-01-23,-10.84,-10.84,-10.84,-27.4,-0.04,-6.11
2017-01-24,4.66,4.66,4.66,112.86,0.63,14.87
2017-01-25,1.96,1.96,-4.27,155.8,0.39,18.3
2017-01-26,-1.05,-1.5,-1.5,32.4,0.49,-1.69
2017-01-27,3.75,3.75,3.75,-7.13,-0.47,-1.99
2017-01-30,-6.02,-6.02,-6.02,-122.65,-0.18,-13.79
2017-01-31,5.58,5.58,5.58,-107.04,2.36,-2.03
2017-02-01,-1.5,-1.5,3.69,26.85,0.21,0.68
2017-02-02,-5.13,8.72,8.72,-6.03,-0.08,1.3
2017-02-03,-0.72,-0.72,-0.72,186.55,-0.33,16.57
2017-02-06,-8.41,-8.41,-8.41,-19.04,-0.6,-4.86
2017-02-07,0.43,0.43,0.43,37.87,-0.38,0.52
2017-02-08,0.21,0.21,-0.26,-35.95,-0.48,1.59
2017-02-09,-0.15,6.18,6.18,118.06,0.22,13.2
2017-02-10,0.8,0.8,0.8,96.97,0.67,8.23
2017-02-13,-6.69,-6.69,-6.69,142.79,0.93,12.15
2017-02-14,-0.31,-0.31,-0.31,92.25,0.08,9.33
2017-02-15,0.6,0.6,0.87,107.45,0.47,11.67
2017-02-16,-2.68,6.29,6.29,7.91,0.09,-2.03
2017-02-17,-2.0,-2.0,-2.0,4.28,0.17,3.94
2017-02-21,-4.68,-4.68,-4.68,118.95,-0.14,14.22
2017-02-22,-3.14,-3.14,1.54,32.6,-0.13,-2.56
2017-02-23,-6.13,10.76,10.76,34.72,0.21,0.99
2017-02-24,-4.7,-4.7,-4.7,11.44,0.0,3.53
2017-02-27,-2.07,-2.07,-2.07,15.68,-0.3,2.39
2017-02-28,-2.65,-2.65,-2.65,-25.2,-0.04,-6.09
2017-03-01,1.46,1.46,1.54,303.31,1.07,32.32
2017-03-02,-1.6,5.56,5.56,-112.58,-0.93,-14.04
2017-03-03,1.02,1.02,1.02,2.74,-0.16,1.2
2017-03-06,-8.56,-8.56,-8.56,-51.37,0.27,-7.81
2017-03-07,0.59,0.59,0.59,-29.58,-0.43,-6.92
2017-03-08,-2.11,-2.11,-0.36,-69.03,-0.2,-5.41
2017-03-09,1.99,9.96,9.96,2.46,0.35,1.89
2017-03-10,-2.36,-2.36,-2.36,44.79,-0.12,7.73
2017-03-13,-1.67,-1.67,-1.67,-21.5,-0.18,0.87
2017-03-14,-6.68,-6.68,-6.68,-44.11,-0.07,-8.02
2017-03-15,3.44,3.44,-0.48,112.73,0.11,19.81
2017-03-16,2.74,5.01,5.01,-15.55,0.34,-3.88
2017-03-17,-2.28,-2.28,-2.28,-19.93,-0.28,-3.13
2017-03-20,-1.92,-1.92,-1.92,-8.76,-0.11,-4.78
2017-03-21,-6.15,-6.15,-6.15,-237.85,-1.03,-29.45
2017-03-22,1.27,1.27,-0.29,-6.71,-0.04,4.43
2017-03-23,0.14,0.41,0.41,-4.72,0.03,-2.49
2017-03-24,5.91,5.91,5.91,-59.86,0.12,-1.98
2017-03-27,-4.66,-4.66,-4.66,-45.74,-0.84,-2.39
2017-03-28,5.71,5.71,5.71,150.52,0.13,16.98
2017-03-29,-2.42,-2.42,1.32,-42.18,-0.47,2.56
2017-03-30,2.25,-0.93,-0.93,69.17,0.72,6.93
2017-03-31,4.39,4.39,4.39,-65.27,0.06,-5.34
2017-04-03,-9.05,-9.05,-9.05,-13.01,-0.54,-3.88
2017-04-04,-1.44,-1.44,-1.44,39.03,-0.28,1.32
2017-04-05,-1.9,-1.9,0.76,-41.09,0.46,-7.21
2017-04-06,-1.65,9.13,9.13,14.8,0.04,4.54
2017-04-07,3.03,3.03,3.03,-6.85,0.09,-1.95
2017-04-10,-10.18,-10.18,-10.18,1.92,0.14,1.62
2017-04-11,-2.37,-2.37,3.33,-6.72,-0.36,-3.38
2017-04-12,-0.57,-1.72,-1.72,-59.44,-0.32,-8.85
2017-04-13,4.62,4.62,4.62,-138.61,-0.57,-15.98
2017-04-17,-0.61,-0.61,-0.61,183.67,0.97,20.06
2017-04-18,-5.37,-5.37,-5.37,-113.64,0.02,-6.82
2017-04-19,2.19,2.19,0.07,-118.79,0.07,-4.02
2017-04-20,0.72,5.86,5.86,174.22,0.95,17.67
2017-04-21,-5.38,-5.38,-5.38,-30.95,-0.21,-7.15
2017-04-24,0.11,0.11,0.11,216.13,0.54,25.46
2017-04-25,3.84,3.84,3.84,232.23,0.08,14.46
2017-04-26,-3.67,-3.67,-3.67,-21.03,-0.99,-1.16
2017-04-27,0.49,0.49,0.49,6.24,-0.87,1.32
2017-04-28,1.95,1.95,1.95,-40.82,0.2,-4.57
