Date,Friday,Sunday,Weekend,djia,nasdaq,snp
2017-03-20,0.81,-1.92,-1.77,-8.76,-0.11,-4.78
2017-03-21,-6.15,-6.15,-6.15,-237.85,-1.03,-29.45
2017-03-22,1.27,1.27,1.27,-6.71,-0.04,4.43
2017-03-23,0.14,0.14,0.14,-4.72,0.03,-2.49
2017-03-24,-0.29,-0.29,-0.29,-59.86,0.12,-1.98
2017-03-27,1.66,-4.66,-0.58,-45.74,-0.84,-2.39
2017-03-28,5.71,5.71,5.71,150.52,0.13,16.98
2017-03-29,-2.42,-2.42,-2.42,-42.18,-0.47,2.56
2017-03-30,2.25,2.25,2.25,69.17,0.72,6.93
2017-03-31,1.32,1.32,1.32,-65.27,0.06,-5.34
2017-04-03,-5.59,-9.05,-6.43,-13.01,-0.54,-3.88
2017-04-04,-1.44,-1.44,-1.44,39.03,-0.28,1.32
2017-04-05,-1.9,-1.9,-1.9,-41.09,0.46,-7.21
2017-04-06,-1.65,-1.65,-1.65,14.8,0.04,4.54
2017-04-07,0.76,0.76,0.76,-6.85,0.09,-1.95
2017-04-10,1.98,-10.18,-5.12,1.92,0.14,1.62
2017-04-11,-2.37,-2.37,-2.37,-6.72,-0.36,-3.38
2017-04-12,-0.57,-0.57,-0.57,-59.44,-0.32,-8.85
2017-04-13,1.66,1.66,1.66,-138.61,-0.57,-15.98
2017-04-17,5.62,-0.61,2.83,183.67,0.97,20.06
2017-04-18,-5.37,-5.37,-5.37,-113.64,0.02,-6.82
2017-04-19,2.19,2.19,2.19,-118.79,0.07,-4.02
2017-04-20,0.72,0.72,0.72,174.22,0.95,17.67
2017-04-21,0.07,0.07,0.07,-30.95,-0.21,-7.15
2017-04-24,0.59,0.11,-1.52,216.13,0.54,25.46
2017-04-25,3.84,3.84,3.84,232.23,0.08,14.46
2017-04-26,-3.67,-3.67,-3.67,-21.03,-0.99,-1.16
2017-04-27,0.49,0.49,0.49,6.24,-0.87,1.32
2017-04-28,1.95,1.95,1.95,-40.82,0.2,-4.57
