Date,Friday,Sunday,Weekend,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,-0.86,-0.86,-0.86,-77.46,0.24,-13.78
2016-11-03,-3.48,-3.48,-3.48,-28.97,0.4,-9.28
2016-11-04,0.24,0.24,0.24,-42.39,0.52,-3.48
2016-11-07,10.88,7.39,7.58,371.32,0.78,46.34
2016-11-08,-7.55,-7.55,-7.55,73.14,-0.08,8.04
2016-11-09,0.2,0.2,0.2,256.95,1.55,23.7
2016-11-10,2.2,2.2,2.2,218.19,0.17,4.22
2016-11-11,-1.16,-1.16,-1.16,39.78,-0.66,-3.03
2016-11-14,2.98,-6.48,-1.23,21.03,-1.71,-0.25
2016-11-15,3.12,3.12,3.12,54.37,-0.25,16.19
2016-11-16,-3.14,-3.14,-3.14,-54.92,0.23,-3.45
2016-11-17,0.41,0.41,0.41,35.68,0.15,10.18
2016-11-18,-2.34,-2.34,-2.34,-35.89,0.99,-5.22
2016-11-21,5.53,2.05,3.43,88.76,0.12,16.28
2016-11-22,-2.24,-2.24,-2.24,67.18,-0.39,4.76
2016-11-23,-0.11,-0.11,-0.11,59.31,-0.24,1.78
2016-11-25,6.5,-0.29,3.1,68.96,0.35,8.63
2016-11-28,-4.53,0.13,-5.14,-54.24,-1.11,-11.63
2016-11-29,0.73,0.73,0.73,23.7,0.39,2.94
2016-11-30,-3.08,-3.08,-3.08,1.98,-0.88,-5.85
2016-12-01,-5.24,-5.24,-5.24,68.35,-0.54,-7.73
2016-12-02,1.16,1.16,1.16,-21.51,0.33,0.87
2016-12-05,6.85,-3.72,0.23,45.82,0.98,12.76
2016-12-06,0.14,0.14,0.14,35.54,1.66,7.52
2016-12-07,-3.64,-3.64,-3.64,297.84,1.09,29.12
2016-12-08,-1.67,-1.67,-1.67,65.19,0.16,4.84
2016-12-09,2.65,2.65,2.65,142.04,0.85,13.34
2016-12-12,-3.45,-16.48,-8.45,39.58,0.17,-2.57
2016-12-13,1.3,1.3,1.3,114.78,0.47,14.76
2016-12-14,-4.53,-4.53,-4.53,-118.68,-1.0,-18.44
