Date,Natural1,Natural2,Natural3,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,-0.86,-0.86,0.24,-77.46,0.24,-13.78
2016-11-03,-3.48,6.41,6.41,-28.97,0.4,-9.28
2016-11-04,-2.92,-2.92,-2.92,-42.39,0.52,-3.48
2016-11-07,7.39,7.39,7.39,371.32,0.78,46.34
2016-11-08,-7.55,-7.55,-7.55,73.14,-0.08,8.04
2016-11-09,0.2,0.2,-1.16,256.95,1.55,23.7
2016-11-10,2.2,3.17,3.17,218.19,0.17,4.22
2016-11-11,6.29,6.29,6.29,39.78,-0.66,-3.03
2016-11-14,-6.48,-6.48,-6.48,21.03,-1.71,-0.25
2016-11-15,3.12,3.12,3.12,54.37,-0.25,16.19
2016-11-16,-3.14,-3.14,-2.34,-54.92,0.23,-3.45
2016-11-17,0.41,2.82,2.82,35.68,0.15,10.18
2016-11-18,0.66,0.66,0.66,-35.89,0.99,-5.22
2016-11-21,2.05,2.05,-2.24,88.76,0.12,16.28
2016-11-22,-2.24,-0.11,-0.29,67.18,-0.39,4.76
2016-11-23,6.79,6.5,6.5,59.31,-0.24,1.78
2016-11-25,-11.16,-11.16,-11.16,68.96,0.35,8.63
2016-11-28,0.13,0.13,0.13,-54.24,-1.11,-11.63
2016-11-29,0.73,0.73,0.73,23.7,0.39,2.94
2016-11-30,-3.08,-3.08,1.16,1.98,-0.88,-5.85
2016-12-01,-5.24,9.29,9.29,68.35,-0.54,-7.73
2016-12-02,1.28,1.28,1.28,-21.51,0.33,0.87
2016-12-05,-3.72,-3.72,-3.72,45.82,0.98,12.76
2016-12-06,0.14,0.14,0.14,35.54,1.66,7.52
2016-12-07,-3.64,-3.64,2.65,297.84,1.09,29.12
2016-12-08,-1.67,1.98,1.98,65.19,0.16,4.84
2016-12-09,11.05,11.05,11.05,142.04,0.85,13.34
2016-12-12,-16.48,-16.48,-16.48,39.58,0.17,-2.57
2016-12-13,1.3,1.3,1.3,114.78,0.47,14.76
2016-12-14,-4.53,-4.53,1.91,-118.68,-1.0,-18.44
2016-12-15,4.54,6.06,6.06,59.71,0.35,8.75
2016-12-16,5.81,5.81,5.81,-8.83,-0.55,-3.96
2016-12-19,-11.05,-11.05,-11.05,39.65,-0.36,4.46
2016-12-20,-0.52,-0.52,-0.52,91.56,0.31,8.23
2016-12-21,1.1,1.1,-2.18,-32.66,-0.52,-5.58
2016-12-22,-0.8,10.95,10.95,-23.08,-0.28,-4.22
2016-12-23,-3.81,-3.81,-3.81,14.93,-0.04,2.83
2016-12-27,-9.78,-9.78,-9.78,11.23,0.36,5.09
2016-12-28,-6.71,-6.71,8.53,-111.36,-0.19,-18.96
2016-12-29,-0.51,-2.14,-2.14,-13.9,-0.33,-0.66
2016-12-30,4.94,4.94,4.94,-57.18,0.11,-10.43
2017-01-03,-5.51,-5.51,-5.51,119.16,-0.44,19.0
2017-01-04,0.18,0.18,-1.56,60.4,1.04,12.92
2017-01-05,0.59,13.92,13.92,-42.87,-0.08,-1.75
2017-01-06,-0.29,-0.29,-0.29,64.51,0.82,7.98
2017-01-09,-12.49,-12.49,-12.49,-76.42,-0.69,-8.08
2017-01-10,-0.39,-0.39,-0.39,-31.85,-0.57,0.0
2017-01-11,0.85,0.85,3.0,98.75,0.52,6.42
2017-01-12,-1.84,12.68,12.68,-63.28,-0.32,-4.88
2017-01-13,-11.13,-11.13,-11.13,-5.27,0.31,4.2
2017-01-17,-9.62,-9.62,-9.62,-58.96,-0.72,-6.75
2017-01-18,2.38,2.38,-2.62,-22.05,0.26,4.0
2017-01-19,3.26,8.99,8.99,-72.32,-0.19,-8.2
2017-01-20,6.93,6.93,6.93,94.85,0.3,7.62
2017-01-23,-14.27,-14.27,-14.27,-27.4,-0.04,-6.11
2017-01-24,6.88,6.88,6.88,112.86,0.63,14.87
2017-01-25,3.05,3.05,-7.84,155.8,0.39,18.3
2017-01-26,-1.72,0.06,0.06,32.4,0.49,-1.69
2017-01-27,7.38,7.38,7.38,-7.13,-0.47,-1.99
2017-01-30,-11.26,-11.26,-11.26,-122.65,-0.18,-13.79
2017-01-31,6.05,6.05,6.05,-107.04,2.36,-2.03
2017-02-01,-1.33,-1.33,3.21,26.85,0.21,0.68
2017-02-02,-4.16,13.25,13.25,-6.03,-0.08,1.3
2017-02-03,-3.45,-3.45,-3.45,186.55,-0.33,16.57
2017-02-06,-7.85,-7.85,-7.85,-19.04,-0.6,-4.86
2017-02-07,-1.19,-1.19,-1.19,37.87,-0.38,0.52
2017-02-08,0.99,0.99,-3.49,-35.95,-0.48,1.59
2017-02-09,-0.31,11.47,11.47,118.06,0.22,13.2
2017-02-10,-1.99,-1.99,-1.99,96.97,0.67,8.23
2017-02-13,-7.37,-7.37,-7.37,142.79,0.93,12.15
2017-02-14,-3.06,-3.06,-3.06,92.25,0.08,9.33
2017-02-15,5.51,5.51,3.97,107.45,0.47,11.67
2017-02-16,-5.68,3.39,3.39,7.91,0.09,-2.03
2017-02-17,-1.68,-1.68,-1.68,4.28,0.17,3.94
2017-02-21,-3.8,-3.8,-3.8,118.95,-0.14,14.22
2017-02-22,-8.59,-8.59,0.89,32.6,-0.13,-2.56
2017-02-23,-6.14,13.09,13.09,34.72,0.21,0.99
2017-02-24,-6.43,-6.43,-6.43,11.44,0.0,3.53
2017-02-27,0.59,0.59,0.59,15.68,-0.3,2.39
2017-02-28,-5.13,-5.13,-5.13,-25.2,-0.04,-6.09
2017-03-01,-0.01,-0.01,2.15,303.31,1.07,32.32
2017-03-02,-2.77,7.27,7.27,-112.58,-0.93,-14.04
2017-03-03,1.44,1.44,1.44,2.74,-0.16,1.2
2017-03-06,-9.37,-9.37,-9.37,-51.37,0.27,-7.81
2017-03-07,2.43,2.43,2.43,-29.58,-0.43,-6.92
2017-03-08,-4.24,-4.24,1.19,-69.03,-0.2,-5.41
2017-03-09,1.04,10.95,10.95,2.46,0.35,1.89
2017-03-10,-0.86,-0.86,-0.86,44.79,-0.12,7.73
2017-03-13,-1.44,-1.44,-1.44,-21.5,-0.18,0.87
2017-03-14,-11.38,-11.38,-11.38,-44.11,-0.07,-8.02
2017-03-15,6.54,6.54,-2.42,112.73,0.11,19.81
2017-03-16,3.04,10.98,10.98,-15.55,0.34,-3.88
2017-03-17,-3.16,-3.16,-3.16,-19.93,-0.28,-3.13
2017-03-20,-5.15,-5.15,-5.15,-8.76,-0.11,-4.78
2017-03-21,-8.83,-8.83,-8.83,-237.85,-1.03,-29.45
2017-03-22,3.75,3.75,-0.59,-6.71,-0.04,4.43
2017-03-23,1.45,-0.76,-0.76,-4.72,0.03,-2.49
2017-03-24,4.84,4.84,4.84,-59.86,0.12,-1.98
2017-03-27,-2.54,-2.54,-2.54,-45.74,-0.84,-2.39
2017-03-28,6.97,6.97,6.97,150.52,0.13,16.98
2017-03-29,-0.71,-0.71,2.43,-42.18,-0.47,2.56
2017-03-30,-1.71,0.14,0.14,69.17,0.72,6.93
2017-03-31,6.97,6.97,6.97,-65.27,0.06,-5.34
2017-04-03,-11.31,-11.31,-11.31,-13.01,-0.54,-3.88
2017-04-04,-3.79,-3.79,-3.79,39.03,-0.28,1.32
2017-04-05,-3.18,-3.18,1.92,-41.09,0.46,-7.21
2017-04-06,-1.53,14.53,14.53,14.8,0.04,4.54
2017-04-07,0.64,0.64,0.64,-6.85,0.09,-1.95
2017-04-10,-13.93,-13.93,-13.93,1.92,0.14,1.62
2017-04-11,-3.14,-3.14,6.32,-6.72,-0.36,-3.38
2017-04-12,-0.49,-6.74,-6.74,-59.44,-0.32,-8.85
2017-04-13,6.31,6.31,6.31,-138.61,-0.57,-15.98
2017-04-17,3.38,3.38,3.38,183.67,0.97,20.06
2017-04-18,-4.94,-4.94,-4.94,-113.64,0.02,-6.82
2017-04-19,1.5,1.5,0.06,-118.79,0.07,-4.02
2017-04-20,-0.51,5.42,5.42,174.22,0.95,17.67
2017-04-21,-8.19,-8.19,-8.19,-30.95,-0.21,-7.15
2017-04-24,5.07,5.07,5.07,216.13,0.54,25.46
2017-04-25,4.76,4.76,4.76,232.23,0.08,14.46
2017-04-26,-5.06,-5.06,-5.06,-21.03,-0.99,-1.16
2017-04-27,2.29,2.29,2.29,6.24,-0.87,1.32
2017-04-28,2.73,2.73,2.73,-40.82,0.2,-4.57
