Date,Friday,Sunday,Weekend,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,-0.08,-0.08,-0.08,-77.46,0.24,-13.78
2016-11-03,-0.51,-0.51,-0.51,-28.97,0.4,-9.28
2016-11-04,2.12,2.12,2.12,-42.39,0.52,-3.48
2016-11-07,-5.89,-1.86,-4.39,371.32,0.78,46.34
2016-11-08,3.55,3.55,3.55,73.14,-0.08,8.04
2016-11-09,-2.43,-2.43,-2.43,256.95,1.55,23.7
2016-11-10,2.96,2.96,2.96,218.19,0.17,4.22
2016-11-11,1.65,1.65,1.65,39.78,-0.66,-3.03
2016-11-14,-2.08,-1.22,-2.11,21.03,-1.71,-0.25
2016-11-15,-1.32,-1.32,-1.32,54.37,-0.25,16.19
2016-11-16,2.15,2.15,2.15,-54.92,0.23,-3.45
2016-11-17,0.44,0.44,0.44,35.68,0.15,10.18
2016-11-18,3.37,3.37,3.37,-35.89,0.99,-5.22
2016-11-21,-3.79,-1.13,-1.69,88.76,0.12,16.28
2016-11-22,-0.7,-0.7,-0.7,67.18,-0.39,4.76
2016-11-23,-0.76,-0.76,-0.76,59.31,-0.24,1.78
2016-11-25,2.47,-3.0,-0.27,68.96,0.35,8.63
2016-11-28,-2.0,0.7,-2.07,-54.24,-1.11,-11.63
2016-11-29,-0.4,-0.4,-0.4,23.7,0.39,2.94
2016-11-30,-1.56,-1.56,-1.56,1.98,-0.88,-5.85
2016-12-01,3.08,3.08,3.08,68.35,-0.54,-7.73
2016-12-02,-1.14,-1.14,-1.14,-21.51,0.33,0.87
2016-12-05,-0.41,-1.83,-1.78,45.82,0.98,12.76
2016-12-06,-1.49,-1.49,-1.49,35.54,1.66,7.52
2016-12-07,2.66,2.66,2.66,297.84,1.09,29.12
2016-12-08,-1.29,-1.29,-1.29,65.19,0.16,4.84
2016-12-09,-0.57,-0.57,-0.57,142.04,0.85,13.34
2016-12-12,0.99,0.98,-0.14,39.58,0.17,-2.57
2016-12-13,-0.45,-0.45,-0.45,114.78,0.47,14.76
2016-12-14,-2.28,-2.28,-2.28,-118.68,-1.0,-18.44
