Date,Friday,Sunday,Weekend,djia,nasdaq,snp
2017-03-20,-1.48,-0.2,-0.79,-8.76,-0.11,-4.78
2017-03-21,0.46,0.46,0.46,-237.85,-1.03,-29.45
2017-03-22,-1.87,-1.87,-1.87,-6.71,-0.04,4.43
2017-03-23,0.63,0.63,0.63,-4.72,0.03,-2.49
2017-03-24,0.97,0.97,0.97,-59.86,0.12,-1.98
2017-03-27,0.88,0.02,0.4,-45.74,-0.84,-2.39
2017-03-28,-0.38,-0.38,-0.38,150.52,0.13,16.98
2017-03-29,-0.26,-0.26,-0.26,-42.18,-0.47,2.56
2017-03-30,0.82,0.82,0.82,69.17,0.72,6.93
2017-03-31,0.42,0.42,0.42,-65.27,0.06,-5.34
2017-04-03,-0.39,0.22,0.11,-13.01,-0.54,-3.88
2017-04-04,-0.53,-0.53,-0.53,39.03,-0.28,1.32
2017-04-05,0.77,0.77,0.77,-41.09,0.46,-7.21
2017-04-06,0.41,0.41,0.41,14.8,0.04,4.54
2017-04-07,-0.18,-0.18,-0.18,-6.85,0.09,-1.95
2017-04-10,-0.84,-2.17,-1.74,1.92,0.14,1.62
2017-04-11,-1.38,-1.38,-1.38,-6.72,-0.36,-3.38
2017-04-12,2.01,2.01,2.01,-59.44,-0.32,-8.85
2017-04-13,-0.63,-0.63,-0.63,-138.61,-0.57,-15.98
2017-04-17,0.33,3.31,0.88,183.67,0.97,20.06
2017-04-18,-0.89,-0.89,-0.89,-113.64,0.02,-6.82
2017-04-19,0.76,0.76,0.76,-118.79,0.07,-4.02
2017-04-20,-0.25,-0.25,-0.25,174.22,0.95,17.67
2017-04-21,0.82,0.82,0.82,-30.95,-0.21,-7.15
2017-04-24,-2.54,-1.35,-1.64,216.13,0.54,25.46
2017-04-25,1.4,1.4,1.4,232.23,0.08,14.46
2017-04-26,0.4,0.4,0.4,-21.03,-0.99,-1.16
2017-04-27,0.77,0.77,0.77,6.24,-0.87,1.32
2017-04-28,0.33,0.33,0.33,-40.82,0.2,-4.57
