Date,Natural1,Natural2,Natural3,djia,nasdaq,snp
2017-03-20,-0.73,-0.73,-0.73,-8.76,-0.11,-4.78
2017-03-21,0.44,0.44,0.44,-237.85,-1.03,-29.45
2017-03-22,-1.69,-1.69,1.11,-6.71,-0.04,4.43
2017-03-23,0.35,0.28,0.28,-4.72,0.03,-2.49
2017-03-24,0.21,0.21,0.21,-59.86,0.12,-1.98
2017-03-27,-0.02,-0.02,-0.02,-45.74,-0.84,-2.39
2017-03-28,-0.07,-0.07,-0.07,150.52,0.13,16.98
2017-03-29,-0.03,-0.03,0.15,-42.18,-0.47,2.56
2017-03-30,0.54,-0.38,-0.38,69.17,0.72,6.93
2017-03-31,0.24,0.24,0.24,-65.27,0.06,-5.34
2017-04-03,-0.29,-0.29,-0.29,-13.01,-0.54,-3.88
2017-04-04,0.0,0.0,0.0,39.03,-0.28,1.32
2017-04-05,0.54,0.54,0.29,-41.09,0.46,-7.21
2017-04-06,0.15,1.52,1.52,14.8,0.04,4.54
2017-04-07,-0.09,-0.09,-0.09,-6.85,0.09,-1.95
2017-04-10,-2.43,-2.43,-2.43,1.92,0.14,1.62
2017-04-11,-1.2,-1.2,1.19,-6.72,-0.36,-3.38
2017-04-12,1.95,-0.79,-0.79,-59.44,-0.32,-8.85
2017-04-13,-4.21,-4.21,-4.21,-138.61,-0.57,-15.98
2017-04-17,3.38,3.38,3.38,183.67,0.97,20.06
2017-04-18,0.12,0.12,0.12,-113.64,0.02,-6.82
2017-04-19,0.8,0.8,0.77,-118.79,0.07,-4.02
2017-04-20,-0.47,-1.23,-1.23,174.22,0.95,17.67
2017-04-21,0.16,0.16,0.16,-30.95,-0.21,-7.15
2017-04-24,-0.75,-0.75,-0.75,216.13,0.54,25.46
2017-04-25,0.66,0.66,0.66,232.23,0.08,14.46
2017-04-26,0.51,0.51,0.51,-21.03,-0.99,-1.16
2017-04-27,0.54,0.54,0.54,6.24,-0.87,1.32
2017-04-28,0.59,0.59,0.59,-40.82,0.2,-4.57
