Date,Natural1,Natural2,Natural3,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,-0.08,-0.08,2.12,-77.46,0.24,-13.78
2016-11-03,-0.51,-0.46,-0.46,-28.97,0.4,-9.28
2016-11-04,-3.57,-3.57,-3.57,-42.39,0.52,-3.48
2016-11-07,-1.86,-1.86,-1.86,371.32,0.78,46.34
2016-11-08,3.55,3.55,3.55,73.14,-0.08,8.04
2016-11-09,-2.43,-2.43,1.65,256.95,1.55,23.7
2016-11-10,2.96,0.95,0.95,218.19,0.17,4.22
2016-11-11,-1.81,-1.81,-1.81,39.78,-0.66,-3.03
2016-11-14,-1.22,-1.22,-1.22,21.03,-1.71,-0.25
2016-11-15,-1.32,-1.32,-1.32,54.37,-0.25,16.19
2016-11-16,2.15,2.15,3.37,-54.92,0.23,-3.45
2016-11-17,0.44,-3.64,-3.64,35.68,0.15,10.18
2016-11-18,0.98,0.98,0.98,-35.89,0.99,-5.22
2016-11-21,-1.13,-1.13,-0.7,88.76,0.12,16.28
2016-11-22,-0.7,-0.76,-3.0,67.18,-0.39,4.76
2016-11-23,5.47,2.92,2.92,59.31,-0.24,1.78
2016-11-25,-5.62,-5.62,-5.62,68.96,0.35,8.63
2016-11-28,0.7,0.7,0.7,-54.24,-1.11,-11.63
2016-11-29,-0.4,-0.4,-0.4,23.7,0.39,2.94
2016-11-30,-1.56,-1.56,-1.14,1.98,-0.88,-5.85
2016-12-01,3.08,2.68,2.68,68.35,-0.54,-7.73
2016-12-02,-1.26,-1.26,-1.26,-21.51,0.33,0.87
2016-12-05,-1.83,-1.83,-1.83,45.82,0.98,12.76
2016-12-06,-1.49,-1.49,-1.49,35.54,1.66,7.52
2016-12-07,2.66,2.66,-0.57,297.84,1.09,29.12
2016-12-08,-1.29,3.38,3.38,65.19,0.16,4.84
2016-12-09,-3.37,-3.37,-3.37,142.04,0.85,13.34
2016-12-12,0.98,0.98,0.98,39.58,0.17,-2.57
2016-12-13,-0.45,-0.45,-0.45,114.78,0.47,14.76
2016-12-14,-2.28,-2.28,-3.67,-118.68,-1.0,-18.44
2016-12-15,4.89,3.96,3.96,59.71,0.35,8.75
2016-12-16,-5.81,-5.81,-5.81,-8.83,-0.55,-3.96
2016-12-19,2.88,2.88,2.88,39.65,-0.36,4.46
2016-12-20,2.38,2.38,2.38,91.56,0.31,8.23
2016-12-21,-1.98,-1.98,-0.32,-32.66,-0.52,-5.58
2016-12-22,1.33,-0.44,-0.44,-23.08,-0.28,-4.22
2016-12-23,-0.54,-0.54,-0.54,14.93,-0.04,2.83
2016-12-27,0.64,0.64,0.64,11.23,0.36,5.09
2016-12-28,-0.2,-0.2,10.86,-111.36,-0.19,-18.96
2016-12-29,-0.16,-6.64,-6.64,-13.9,-0.33,-0.66
2016-12-30,-5.28,-5.28,-5.28,-57.18,0.11,-10.43
2017-01-03,-0.35,-0.35,-0.35,119.16,-0.44,19.0
2017-01-04,-0.71,-0.71,-1.42,60.4,1.04,12.92
2017-01-05,4.19,-1.54,-1.54,-42.87,-0.08,-1.75
2017-01-06,0.66,0.66,0.66,64.51,0.82,7.98
2017-01-09,-0.53,-0.53,-0.53,-76.42,-0.69,-8.08
2017-01-10,-1.43,-1.43,-1.43,-31.85,-0.57,0.0
2017-01-11,1.31,1.31,2.44,98.75,0.52,6.42
2017-01-12,2.86,-2.45,-2.45,-63.28,-0.32,-4.88
2017-01-13,0.39,0.39,0.39,-5.27,0.31,4.2
2017-01-17,-2.2,-2.2,-2.2,-58.96,-0.72,-6.75
2017-01-18,1.15,1.15,0.67,-22.05,0.26,4.0
2017-01-19,0.53,14.24,14.24,-72.32,-0.19,-8.2
2017-01-20,-1.67,-1.67,-1.67,94.85,0.3,7.62
2017-01-23,-0.98,-0.98,-0.98,-27.4,-0.04,-6.11
2017-01-24,0.88,0.88,0.88,112.86,0.63,14.87
2017-01-25,-0.17,-0.17,-0.46,155.8,0.39,18.3
2017-01-26,-0.23,0.0,0.0,32.4,0.49,-1.69
2017-01-27,0.0,0.0,0.0,-7.13,-0.47,-1.99
2017-01-30,0.46,0.46,0.46,-122.65,-0.18,-13.79
2017-01-31,0.8,0.8,0.8,-107.04,2.36,-2.03
2017-02-01,1.41,1.41,1.43,26.85,0.21,0.68
2017-02-02,-1.47,-1.38,-1.38,-6.03,-0.08,1.3
2017-02-03,2.41,2.41,2.41,186.55,-0.33,16.57
2017-02-06,-3.0,-3.0,-3.0,-19.04,-0.6,-4.86
2017-02-07,0.89,0.89,0.89,37.87,-0.38,0.52
2017-02-08,-0.81,-0.81,1.48,-35.95,-0.48,1.59
2017-02-09,-0.61,0.38,0.38,118.06,0.22,13.2
2017-02-10,1.73,1.73,1.73,96.97,0.67,8.23
2017-02-13,-1.33,-1.33,-1.33,142.79,0.93,12.15
2017-02-14,0.96,0.96,0.96,92.25,0.08,9.33
2017-02-15,-2.7,-2.7,-1.26,107.45,0.47,11.67
2017-02-16,-0.13,-0.4,-0.4,7.91,0.09,-2.03
2017-02-17,-0.89,-0.89,-0.89,4.28,0.17,3.94
2017-02-21,1.57,1.57,1.57,118.95,-0.14,14.22
2017-02-22,1.36,1.36,0.06,32.6,-0.13,-2.56
2017-02-23,-1.51,1.74,1.74,34.72,0.21,0.99
2017-02-24,0.18,0.18,0.18,11.44,0.0,3.53
2017-02-27,-1.29,-1.29,-1.29,15.68,-0.3,2.39
2017-02-28,-0.3,-0.3,-0.3,-25.2,-0.04,-6.09
2017-03-01,0.29,0.29,0.64,303.31,1.07,32.32
2017-03-02,0.07,-2.45,-2.45,-112.58,-0.93,-14.04
2017-03-03,2.02,2.02,2.02,2.74,-0.16,1.2
2017-03-06,0.32,0.32,0.32,-51.37,0.27,-7.81
2017-03-07,-0.21,-0.21,-0.21,-29.58,-0.43,-6.92
2017-03-08,0.3,0.3,1.51,-69.03,-0.2,-5.41
2017-03-09,-1.43,-0.26,-0.26,2.46,0.35,1.89
2017-03-10,-1.91,-1.91,-1.91,44.79,-0.12,7.73
2017-03-13,0.55,0.55,0.55,-21.5,-0.18,0.87
2017-03-14,0.07,0.07,0.07,-44.11,-0.07,-8.02
2017-03-15,-0.9,-0.9,1.57,112.73,0.11,19.81
2017-03-16,0.18,-1.24,-1.24,-15.55,0.34,-3.88
2017-03-17,0.19,0.19,0.19,-19.93,-0.28,-3.13
2017-03-20,-0.14,-0.14,-0.14,-8.76,-0.11,-4.78
2017-03-21,0.33,0.33,0.33,-237.85,-1.03,-29.45
2017-03-22,-1.78,-1.78,1.15,-6.71,-0.04,4.43
2017-03-23,0.17,0.72,0.72,-4.72,0.03,-2.49
2017-03-24,0.52,0.52,0.52,-59.86,0.12,-1.98
2017-03-27,-0.14,-0.14,-0.14,-45.74,-0.84,-2.39
2017-03-28,-0.83,-0.83,-0.83,150.52,0.13,16.98
2017-03-29,0.09,0.09,0.63,-42.18,-0.47,2.56
2017-03-30,0.86,-1.25,-1.25,69.17,0.72,6.93
2017-03-31,0.52,0.52,0.52,-65.27,0.06,-5.34
2017-04-03,-0.06,-0.06,-0.06,-13.01,-0.54,-3.88
2017-04-04,-0.29,-0.29,-0.29,39.03,-0.28,1.32
2017-04-05,0.62,0.62,-0.38,-41.09,0.46,-7.21
2017-04-06,0.79,1.2,1.2,14.8,0.04,4.54
2017-04-07,-0.39,-0.39,-0.39,-6.85,0.09,-1.95
2017-04-10,-1.6,-1.6,-1.6,1.92,0.14,1.62
2017-04-11,-1.42,-1.42,0.15,-6.72,-0.36,-3.38
2017-04-12,1.69,-0.52,-0.52,-59.44,-0.32,-8.85
2017-04-13,-2.43,-2.43,-2.43,-138.61,-0.57,-15.98
2017-04-17,2.74,2.74,2.74,183.67,0.97,20.06
2017-04-18,-0.79,-0.79,-0.79,-113.64,0.02,-6.82
2017-04-19,0.85,0.85,0.44,-118.79,0.07,-4.02
2017-04-20,-0.11,-1.05,-1.05,174.22,0.95,17.67
2017-04-21,0.19,0.19,0.19,-30.95,-0.21,-7.15
2017-04-24,-1.27,-1.27,-1.27,216.13,0.54,25.46
2017-04-25,1.23,1.23,1.23,232.23,0.08,14.46
2017-04-26,-0.32,-0.32,-0.32,-21.03,-0.99,-1.16
2017-04-27,1.26,1.26,1.26,6.24,-0.87,1.32
2017-04-28,0.75,0.75,0.75,-40.82,0.2,-4.57
