Date,Friday,Sunday,Weekend,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,-1.58,-1.58,-1.58,-77.46,0.24,-13.78
2016-11-03,-1.47,-1.47,-1.47,-28.97,0.4,-9.28
2016-11-04,-0.9,-0.9,-0.9,-42.39,0.52,-3.48
2016-11-07,10.83,7.83,9.29,371.32,0.78,46.34
2016-11-08,-7.1,-7.1,-7.1,73.14,-0.08,8.04
2016-11-09,0.86,0.86,0.86,256.95,1.55,23.7
2016-11-10,1.82,1.82,1.82,218.19,0.17,4.22
2016-11-11,-2.56,-2.56,-2.56,39.78,-0.66,-3.03
2016-11-14,3.49,-2.3,0.94,21.03,-1.71,-0.25
2016-11-15,2.1,2.1,2.1,54.37,-0.25,16.19
2016-11-16,-4.47,-4.47,-4.47,-54.92,0.23,-3.45
2016-11-17,3.25,3.25,3.25,35.68,0.15,10.18
2016-11-18,-4.3,-4.3,-4.3,-35.89,0.99,-5.22
2016-11-21,3.47,0.05,1.02,88.76,0.12,16.28
2016-11-22,-0.32,-0.32,-0.32,67.18,-0.39,4.76
2016-11-23,-1.76,-1.76,-1.76,59.31,-0.24,1.78
2016-11-25,6.82,0.56,3.69,68.96,0.35,8.63
2016-11-28,-4.56,1.36,-3.71,-54.24,-1.11,-11.63
2016-11-29,0.89,0.89,0.89,23.7,0.39,2.94
2016-11-30,-3.54,-3.54,-3.54,1.98,-0.88,-5.85
2016-12-01,-3.5,-3.5,-3.5,68.35,-0.54,-7.73
2016-12-02,0.13,0.13,0.13,-21.51,0.33,0.87
2016-12-05,6.42,-0.74,1.19,45.82,0.98,12.76
2016-12-06,0.84,0.84,0.84,35.54,1.66,7.52
2016-12-07,-3.17,-3.17,-3.17,297.84,1.09,29.12
2016-12-08,-0.81,-0.81,-0.81,65.19,0.16,4.84
2016-12-09,2.45,2.45,2.45,142.04,0.85,13.34
2016-12-12,-4.0,-13.61,-7.53,39.58,0.17,-2.57
2016-12-13,2.25,2.25,2.25,114.78,0.47,14.76
2016-12-14,-5.63,-5.63,-5.63,-118.68,-1.0,-18.44
2016-12-15,5.19,5.19,5.19,59.71,0.35,8.75
2016-12-16,1.01,1.01,1.01,-8.83,-0.55,-3.96
2016-12-19,0.18,-8.28,-4.57,39.65,-0.36,4.46
2016-12-20,0.76,0.76,0.76,91.56,0.31,8.23
2016-12-21,-0.29,-0.29,-0.29,-32.66,-0.52,-5.58
2016-12-22,1.21,1.21,1.21,-23.08,-0.28,-4.22
2016-12-23,1.56,1.56,1.56,14.93,-0.04,2.83
2016-12-27,-3.81,-8.07,-5.55,11.23,0.36,5.09
2016-12-28,-7.32,-7.32,-7.32,-111.36,-0.19,-18.96
2016-12-29,-1.15,-1.15,-1.15,-13.9,-0.33,-0.66
2016-12-30,1.39,1.39,1.39,-57.18,0.11,-10.43
2017-01-03,5.59,-5.83,-2.26,119.16,-0.44,19.0
2017-01-04,0.03,0.03,0.03,60.4,1.04,12.92
2017-01-05,2.27,2.27,2.27,-42.87,-0.08,-1.75
2017-01-06,-1.61,-1.61,-1.61,64.51,0.82,7.98
2017-01-09,0.23,-6.6,-4.98,-76.42,-0.69,-8.08
2017-01-10,-0.07,-0.07,-0.07,-31.85,-0.57,0.0
2017-01-11,0.53,0.53,0.53,98.75,0.52,6.42
2017-01-12,-1.69,-1.69,-1.69,-63.28,-0.32,-4.88
2017-01-13,5.78,5.78,5.78,-5.27,0.31,4.2
2017-01-17,-5.5,-8.34,-10.38,-58.96,-0.72,-6.75
2017-01-18,3.44,3.44,3.44,-22.05,0.26,4.0
2017-01-19,1.26,1.26,1.26,-72.32,-0.19,-8.2
2017-01-20,-2.59,-2.59,-2.59,94.85,0.3,7.62
2017-01-23,1.38,-13.02,-6.29,-27.4,-0.04,-6.11
2017-01-24,7.34,7.34,7.34,112.86,0.63,14.87
2017-01-25,1.59,1.59,1.59,155.8,0.39,18.3
2017-01-26,-2.0,-2.0,-2.0,32.4,0.49,-1.69
2017-01-27,-5.79,-5.79,-5.79,-7.13,-0.47,-1.99
2017-01-30,-3.07,-7.63,-4.32,-122.65,-0.18,-13.79
2017-01-31,5.0,5.0,5.0,-107.04,2.36,-2.03
2017-02-01,-0.53,-0.53,-0.53,26.85,0.21,0.68
2017-02-02,-4.78,-4.78,-4.78,-6.03,-0.08,1.3
2017-02-03,4.31,4.31,4.31,186.55,-0.33,16.57
2017-02-06,0.72,-7.35,-4.76,-19.04,-0.6,-4.86
2017-02-07,-1.18,-1.18,-1.18,37.87,-0.38,0.52
2017-02-08,0.34,0.34,0.34,-35.95,-0.48,1.59
2017-02-09,1.43,1.43,1.43,118.06,0.22,13.2
2017-02-10,-2.65,-2.65,-2.65,96.97,0.67,8.23
2017-02-13,0.35,-9.51,-5.34,142.79,0.93,12.15
2017-02-14,-0.53,-0.53,-0.53,92.25,0.08,9.33
2017-02-15,2.08,2.08,2.08,107.45,0.47,11.67
2017-02-16,-3.33,-3.33,-3.33,7.91,0.09,-2.03
2017-02-17,4.78,4.78,4.78,4.28,0.17,3.94
2017-02-21,2.27,-3.13,-2.16,118.95,-0.14,14.22
2017-02-22,-6.06,-6.06,-6.06,32.6,-0.13,-2.56
2017-02-23,-7.79,-7.79,-7.79,34.72,0.21,0.99
2017-02-24,1.28,1.28,1.28,11.44,0.0,3.53
2017-02-27,5.98,0.28,-0.51,15.68,-0.3,2.39
2017-02-28,-3.17,-3.17,-3.17,-25.2,-0.04,-6.09
2017-03-01,1.05,1.05,1.05,303.31,1.07,32.32
2017-03-02,-2.86,-2.86,-2.86,-112.58,-0.93,-14.04
2017-03-03,3.21,3.21,3.21,2.74,-0.16,1.2
2017-03-06,-3.78,-9.34,-7.23,-51.37,0.27,-7.81
2017-03-07,2.21,2.21,2.21,-29.58,-0.43,-6.92
2017-03-08,-3.53,-3.53,-3.53,-69.03,-0.2,-5.41
2017-03-09,2.07,2.07,2.07,2.46,0.35,1.89
2017-03-10,1.44,1.44,1.44,44.79,-0.12,7.73
2017-03-13,7.95,0.26,2.85,-21.5,-0.18,0.87
2017-03-14,-10.25,-10.25,-10.25,-44.11,-0.07,-8.02
2017-03-15,4.93,4.93,4.93,112.73,0.11,19.81
2017-03-16,4.76,4.76,4.76,-15.55,0.34,-3.88
2017-03-17,-2.84,-2.84,-2.84,-19.93,-0.28,-3.13
2017-03-20,3.55,-0.93,-0.74,-8.76,-0.11,-4.78
2017-03-21,-11.28,-11.28,-11.28,-237.85,-1.03,-29.45
2017-03-22,2.34,2.34,2.34,-6.71,-0.04,4.43
2017-03-23,2.22,2.22,2.22,-4.72,0.03,-2.49
2017-03-24,-0.78,-0.78,-0.78,-59.86,0.12,-1.98
2017-03-27,2.07,-4.72,-0.21,-45.74,-0.84,-2.39
2017-03-28,8.32,8.32,8.32,150.52,0.13,16.98
2017-03-29,-3.39,-3.39,-3.39,-42.18,-0.47,2.56
2017-03-30,1.67,1.67,1.67,69.17,0.72,6.93
2017-03-31,1.86,1.86,1.86,-65.27,0.06,-5.34
2017-04-03,-5.97,-9.86,-6.44,-13.01,-0.54,-3.88
2017-04-04,-2.76,-2.76,-2.76,39.03,-0.28,1.32
2017-04-05,-3.66,-3.66,-3.66,-41.09,0.46,-7.21
2017-04-06,-0.82,-0.82,-0.82,14.8,0.04,4.54
2017-04-07,1.67,1.67,1.67,-6.85,0.09,-1.95
2017-04-10,3.26,-9.22,-3.99,1.92,0.14,1.62
2017-04-11,-5.27,-5.27,-5.27,-6.72,-0.36,-3.38
2017-04-12,-0.23,-0.23,-0.23,-59.44,-0.32,-8.85
2017-04-13,0.97,0.97,0.97,-138.61,-0.57,-15.98
2017-04-17,9.52,4.78,7.79,183.67,0.97,20.06
2017-04-18,-6.0,-6.0,-6.0,-113.64,0.02,-6.82
2017-04-19,2.39,2.39,2.39,-118.79,0.07,-4.02
2017-04-20,0.89,0.89,0.89,174.22,0.95,17.67
2017-04-21,-0.6,-0.6,-0.6,-30.95,-0.21,-7.15
2017-04-24,0.95,2.98,0.04,216.13,0.54,25.46
2017-04-25,3.74,3.74,3.74,232.23,0.08,14.46
2017-04-26,-2.87,-2.87,-2.87,-21.03,-0.99,-1.16
2017-04-27,1.61,1.61,1.61,6.24,-0.87,1.32
2017-04-28,0.81,0.81,0.81,-40.82,0.2,-4.57
