Date,Friday,Sunday,Weekend,djia,nasdaq,snp
2017-03-20,1.24,-1.53,-1.47,-8.76,-0.11,-4.78
2017-03-21,-8.28,-8.28,-8.28,-237.85,-1.03,-29.45
2017-03-22,2.11,2.11,2.11,-6.71,-0.04,4.43
2017-03-23,1.09,1.09,1.09,-4.72,0.03,-2.49
2017-03-24,-1.06,-1.06,-1.06,-59.86,0.12,-1.98
2017-03-27,2.72,-5.56,-0.09,-45.74,-0.84,-2.39
2017-03-28,6.04,6.04,6.04,150.52,0.13,16.98
2017-03-29,-2.57,-2.57,-2.57,-42.18,-0.47,2.56
2017-03-30,2.37,2.37,2.37,69.17,0.72,6.93
2017-03-31,0.85,0.85,0.85,-65.27,0.06,-5.34
2017-04-03,-5.88,-8.84,-6.33,-13.01,-0.54,-3.88
2017-04-04,-0.98,-0.98,-0.98,39.03,-0.28,1.32
2017-04-05,-2.71,-2.71,-2.71,-41.09,0.46,-7.21
2017-04-06,-1.72,-1.72,-1.72,14.8,0.04,4.54
2017-04-07,1.23,1.23,1.23,-6.85,0.09,-1.95
2017-04-10,2.82,-8.43,-3.3,1.92,0.14,1.62
2017-04-11,-3.9,-3.9,-3.9,-6.72,-0.36,-3.38
2017-04-12,-0.17,-0.17,-0.17,-59.44,-0.32,-8.85
2017-04-13,1.56,1.56,1.56,-138.61,-0.57,-15.98
2017-04-17,6.25,0.5,4.35,183.67,0.97,20.06
2017-04-18,-5.98,-5.98,-5.98,-113.64,0.02,-6.82
2017-04-19,2.74,2.74,2.74,-118.79,0.07,-4.02
2017-04-20,1.48,1.48,1.48,174.22,0.95,17.67
2017-04-21,-0.02,-0.02,-0.02,-30.95,-0.21,-7.15
2017-04-24,0.42,1.5,-0.91,216.13,0.54,25.46
2017-04-25,2.93,2.93,2.93,232.23,0.08,14.46
2017-04-26,-3.3,-3.3,-3.3,-21.03,-0.99,-1.16
2017-04-27,0.84,0.84,0.84,6.24,-0.87,1.32
2017-04-28,1.34,1.34,1.34,-40.82,0.2,-4.57
